"","Address","longitude","latitude","Type1","Type2","Type3","Value","Icon"
"178","118 EAST 91 STREET , New York",-73.9540066,40.7827883,"Rent","D1  -ELEVATOR",NA,41.59,"Rent"
"179","118 WEST 112 STREET , New York",-73.9529504,40.7997998,"Rent","R4  -ELEVATOR",NA,35.04,"Rent"
"180","118 WEST 137 STREET , New York",-73.9410567,40.8156875,"Rent","C4  -WALK-UP",NA,32.3,"Rent"
"181","119 EAST 23 STREET , New York",-73.9852527,40.7400161,"Rent","R4  -ELEVATOR",NA,49.99,"Rent"
"182","119 FULTON STREET , New York",-74.0069452,40.7100959,"Rent","R4  -ELEVATOR",NA,46.18,"Rent"
"183","119 PAYSON AVENUE , New York",-73.9258326,40.868442,"Rent","D1  -ELEVATOR",NA,27,"Rent"
"184","1199 1 AVENUE , New York",-73.9596657,40.76328,"Rent","D6  -ELEVATOR",NA,44.39,"Rent"
"185","12 CHARLES STREET , New York",-74.0009771,40.7350851,"Rent","D1  -ELEVATOR",NA,46.476,"Rent"
"186","12 JONES STREET , New York",-74.002089,40.731936,"Rent","D1  -ELEVATOR",NA,47.41,"Rent"
"187","12 WEST 18 STREET , New York",-73.9930044,40.7387849,"Rent","R4  -ELEVATOR",NA,58.62,"Rent"
"188","12 WEST 68 STREET , New York",NA,NA,"Rent","D1  -ELEVATOR",NA,43.3316666666667,"Rent"
"189","12 WEST 9 STREET , New York",-73.996983,40.7330516,"Rent","R9  -CONDOPS",NA,44.32,"Rent"
"190","120 CHURCH STREET , New York",-74.0091652,40.7136692,"Rent","D5  -ELEVATOR",NA,42.99,"Rent"
"191","120 EAST 86 STREET , New York",-73.9563152,40.7795808,"Rent","R9  -CONDOPS",NA,43.45,"Rent"
"192","120 EAST 87 STREET , New York",-73.9557811,40.7802076,"Rent","R4  -ELEVATOR",NA,56.38,"Rent"
"193","120 RIDGE STREET , New York",-73.9829341,40.7190882,"Rent","D1  -ELEVATOR",NA,44.99,"Rent"
"194","120 RIVERSIDE BOULEVARD , New York",-73.98911,40.7764061,"Rent","R4  -ELEVATOR",NA,51.85,"Rent"
"195","120 SUFFOLK STREET , New York",-73.9857807,40.7190288,"Rent","C4  -WALK-UP",NA,44.47,"Rent"
"196","120 WEST 100 STREET , New York",-73.966943,40.795482,"Rent","D3  -ELEVATOR",NA,30.74,"Rent"
"197","120 WEST 138 STREET , New York",-73.9407497,40.8164376,"Rent","D1  -ELEVATOR",NA,30.2616666666667,"Rent"
"198","120 WEST 15 STREET , New York",-73.9973063,40.7382479,"Rent","RR  -CONRENT",NA,51.74,"Rent"
"199","120 WEST 18 STREET , New York",-73.9959875,40.7402002,"Rent","R4  -ELEVATOR",NA,48.12,"Rent"
"200","120 WEST 21 STREET , New York",-73.9949859,40.7419375,"Rent","D8  -ELEVATOR",NA,73.3,"Rent"
"201","120 WEST 58 STREET , New York",-73.9776999,40.765169,"Rent","R4  -ELEVATOR",NA,42.74,"Rent"
"202","120 WEST 72 STREET , New York",-73.9797431,40.7775161,"Rent","R4  -ELEVATOR",NA,52.15,"Rent"
"203","1200 5 AVENUE , New York",-73.9532361,40.7912448,"Rent","R4  -ELEVATOR",NA,53.21,"Rent"
"204","121 BENNETT AVENUE , New York",-73.934506,40.854098,"Rent","D1  -ELEVATOR",NA,20.24,"Rent"
"205","121 EAST 31 STREET , New York",-73.9815796,40.7448989,"Rent","D3  -ELEVATOR",NA,47.76,"Rent"
"206","121 EAST 90 STREET , New York",-73.9541443,40.7824993,"Rent","D9  -ELEVATOR",NA,44.57,"Rent"
"207","121 HENRY STREET , New York",-73.9915775,40.7134097,"Rent","C1  -WALK-UP",NA,53.34,"Rent"
"208","121 READE STREET , New York",-74.0094586,40.7161781,"Rent","D6  -ELEVATOR",NA,52.1557142857143,"Rent"
"209","121 WEST 20 STREET , New York",-73.9948482,40.7415705,"Rent","R4  -ELEVATOR",NA,51.69,"Rent"
"210","1212 5 AVENUE , New York",-73.9528853,40.791381,"Rent","R4  -ELEVATOR",NA,53.83,"Rent"
